Simulation Log Export
Generated: 2026-04-24T14:01:13
Rows: 2035

t_s	x_m	z_m	vx	vz	mach	miss_distance_m	rcs_dbsm	guidance_phase
1.24	-18937.500051947067	4.056784221133223	849.9999196213771	-0.602225777326586	2.4978698550063987	18937.500486468463	9.003775436407253	cruise
1.25	-18929.000052751744	4.051771463360536	849.9999194826959	-0.40032577724008167	2.4978695046980985	18929.000486394616	9.001962567622495	cruise
1.26	-18920.500053557378	4.046842566925497	849.9999193546507	-0.585453509742177	2.4978698197881566	18920.500486340192	9.003627283892062	cruise
1.27	-18912.000054364617	4.041997531828571	849.9999192359331	-0.383553509669947	2.4978694812459055	18912.000486305813	9.00181432722938	cruise
1.28	-18903.500055172626	4.037235469867723	849.9999191273778	-0.5688588824760538	2.4978697860077217	18903.500486290406	9.003480595040852	cruise
1.29	-18895.000055982036	4.032556381043382	849.9999190276884	-0.366958882416773	2.4978694591047743	18895.00048629457	9.00166755126595	cruise
1.3	-18886.500056792043	4.027959316137323	849.9999189376927	-0.5524540987735762	2.497869753652344	18886.50048631726	9.003335480672298	cruise
1.31	-18878.000057603254	4.023444275149938	849.9999188561077	-0.350554098725991	2.497869438253472	18878.000486359044	9.001522350612632	cruise
1.32	-18869.500058414895	4.0190102533787355	849.9999187837543	-0.5362502554948205	2.4978697227048863	18869.5004864189	9.003192041745617	cruise
1.33	-18861.00005922755	4.014657250824075	849.9999187193641	-0.3343502554577495	2.4978694186671553	18861.00048649738	9.00137882629788	cruise
1.34	-18852.50006004048	4.0103842125305	849.9999186637515	-0.520257403239281	2.4978696931443314	18852.50048659349	9.003050369941834	cruise
1.35	-18844.000060854247	4.006191138498338	849.9999186156633	-0.3183574032116144	2.497869400317843	18844.00048670776	9.001237070064928	cruise
1.36	-18835.50006166814	4.002076928463057	849.9999185759074	-0.5044846038283662	2.4978696649462653	18835.500486839213	9.002910548127915	cruise
1.37	-18827.000062482704	3.998041582424954	849.9999185432471	-0.30258460380906516	2.4978693831748497	18827.000486988367	9.001097164805682	cruise
1.3800000000000001	-18818.50006329725	3.994083959479608	849.9999185184837	-0.48893998524556376	2.497869638083321	18818.500487154266	9.002772650864578	cruise
1.3900000000000001	-18810.00006411231	3.9902040596272874	849.9999185003977	-0.28703998523365926	2.497869367205195	18810.00048733741	9.000959185168934	cruise
1.4000000000000001	-18801.500064927222	3.986400705730399	849.999918489784	-0.47363079413093334	2.49786961252559	18801.500487536865	9.002636744877842	cruise
1.41	-18793.000065742493	3.982673897789184	849.9999184854407	-0.27173079412552453	2.497869352373977	18793.000487753114	9.000823197886074	cruise
1.42	-18784.50006655749	3.979022426588881	849.9999184881565	-0.4585634459234006	2.4978695882410067	18784.500487985246	9.002502889460553	cruise
1.43	-18776.000067372708	3.975446292129705	849.9999184967477	-0.2566634459236528	2.4978693386447204	18776.000488233727	9.000689262299176	cruise
1.44	-18767.500068187535	3.9719442570363293	849.9999185119966	-0.4437435727412343	2.4978695651957032	18767.500488497673	9.002371136956143	cruise
1.45	-18759.000069002446	3.9685163213089436	849.9999185327385	-0.24184357274637683	2.4978693259796985	18759.00048877753	9.000557430807424	cruise
1.46	-18750.50006981686	3.9651612230997264	849.9999185597493	-0.4291760690881008	2.4978695433543323	18750.500489072434	9.00224153309988	cruise
1.47	-18742.00007063123	3.961878962408844	849.9999185918832	-0.22727606909742426	2.49786931434022	18742.000489382823	9.000427749131553	cruise
1.48	-18733.500071445003	3.9586682563859723	849.9999186299098	-0.4148651354691555	2.4978695226803667	18733.50048970785	9.002114117468857	cruise
1.49	-18725.000072258616	3.9555291050312555	849.999918672703	-0.2129651354820095	2.497869303686903	18725.00049004794	9.000300256910485	cruise
1.5	-18716.500073071533	3.952460207753818	849.9999187210256	-0.4008143199988131	2.4978695031363713	18716.500490402268	9.001988923796294	cruise
1.51	-18708.000073884177	3.949461564553784	849.9999187737715	-0.19891432001460338	2.497869293979912	18708.000490771243	9.000174987954415	cruise
1.52	-18699.500074696043	3.946531860163288	849.9999188316967	-0.38702655807905684	2.497869484684253	18699.500491154064	9.001865980351784	cruise
1.53	-18691.00007550753	3.943671094582434	849.9999188937154	-0.1851265580972424	2.497869285179184	18691.00049155112	9.00005197045131	cruise
1.54	-18682.500076318156	3.9408779407408026	849.9999189605766	-0.3735042102244833	2.497869467285484	18682.500491961637	9.001745310270099	cruise
1.55	-18674.000077128305	3.938152398638479	849.9999190312149	-0.17160421024457365	2.497869277244621	18674.000492385992	9.000068772210819	cruise
1.56	-18665.50007793752	3.9354931320967	849.9999191063722	-0.36024909810766603	2.4978694509013106	18665.50049282343	9.001626931850351	cruise
1.57	-18657.000078746165	3.9329001411155327	849.9999191850037	-0.15834909812921813	2.497869270136277	18657.00049327431	9.000187219521909	cruise
1.58	-18648.500079553807	3.9303720829303934	849.9999192678441	-0.3472625388958932	2.497869435492931	18648.50049373791	9.001510858909073	cruise
1.59	-18640.000080360795	3.927908957541334	849.9999193538691	-0.14536253891850887	2.4978692638145095	18640.000494214564	9.000303357906633	cruise
1.6	-18631.500081166716	3.9255094179569925	849.9999194438061	-0.3345453779478761	2.497869421021666	18631.500494703574	9.001397101015026	cruise
1.61	-18623.000081971906	3.9231734641774056	849.9999195366514	-0.1326453779711989	2.497869258240126	18623.000495205266	9.000417177844401	cruise
1.62	-18614.500082775972	3.9208997471878604	849.9999196331248	-0.32209801993664167	2.4978694074491004	18614.500495718963	9.001285663794485	cruise
1.6300000000000001	-18606.000083579234	3.9186882669883802	849.9999197322435	-0.12019801996035434	2.4978692533745077	18606.000496244975	9.000528673882984	cruise
1.6400000000000001	-18597.500084381318	3.9165376745962632	849.9999198347193	-0.3099204584625053	2.497869394737221	18597.50049678264	9.001176549184468	cruise
1.6500000000000001	-18589.000085182528	3.91444797001152	849.9999199395902	-0.10802045848632685	2.49786924917972	18589.000497332258	9.00063784412852	cruise
1.6600000000000001	-18580.500085982516	3.9124178061980004	849.99992004756	-0.298012304217774	2.4978693828485232	18580.500497893197	9.001069755699476	cruise
1.67	-18572.00008678157	3.910447183155702	849.9999201576873	-0.0961123042414572	2.497869245618606	18572.000498465743	9.000744690242685	cruise
1.68	-18563.500087579356	3.9085347575756852	849.9999202706678	-0.28637281176265184	2.4978693717461193	18563.500499049274	9.000965278635494	cruise
1.69	-18555.00008837615	3.9066805294579368	849.9999203855807	-0.0844728117859806	2.49786924265487	18555.00049964407	9.000849217015713	cruise
1.7	-18546.500089171637	3.904883160874165	849.9999205031133	-0.27500090496969287	2.4978693613938208	18546.50050024953	9.000863110354246	cruise
1.71	-18538.000089966077	3.9031426518243464	849.9999206223655	-0.07310090499247984	2.4978692402531477	18538.000500865914	9.00095143226974	cruise
1.72	-18529.500090759182	3.901457671293432	849.9999207440158	-0.2638952011921212	2.4978693517562163	18529.500501492654	9.000763240376369	cruise
1.73	-18521.000091551192	3.8998282192813902	849.9999208671843	-0.06199520121420546	2.4978692383790615	18521.00050212999	9.001051346513595	cruise
1.74	-18512.500092341834	3.8982529731042836	849.999920992541	-0.25305403420931816	2.4978693427987344	18512.500502777377	9.000665655776132	cruise
1.75	-18504.000093131333	3.8967319327620715	849.9999211192264	-0.05115403423056289	2.4978692369992728	18504.00050343504	9.001148972881143	cruise
1.76	-18495.500093919443	3.8952637852109278	849.9999212479013	-0.24247547600087888	2.4978693344876994	18495.500504102452	9.000570341175552	cruise
1.77	-18487.00009470637	3.8938485304508026	849.9999213777263	-0.040575476021169316	2.4978692360815153	18487.00050477983	9.001244326801718	cruise
1.78	-18478.500095491883	3.892484866283718	849.9999215093532	-0.23215735739875015	2.497869326790372	18478.50050546667	9.000477279093161	cruise
1.79	-18470.000096276177	3.8911727927096176	849.9999216419624	-0.030257357417991515	2.497869235594629	18470.000506163167	9.001337425922383	cruise
1.8	-18461.500097059037	3.889911019484219	849.9999217761963	-0.2220972876651661	2.4978693196749875	18461.500506868844	9.00038644995395	cruise
1.81	-18453.000097840646	3.8886995466074583	849.9999219112552	-0.020197287683281828	2.4978692355085785	18453.000507583885	9.001428289881435	cruise
1.82	-18444.500098620807	3.8875370968038485	849.9999220477722	-0.21229267304233887	2.497869313110781	18444.500508307825	9.000297832430997	cruise
1.83	-18436.000099399687	3.8864236700733206	849.9999221849669	-0.010392673059268748	2.4978692357944716	18436.00050904084	9.001516940131577	cruise
1.84	-18427.500100177105	3.885358003036453	849.9999223234626	-0.20274073431816242	2.4978693070680107	18427.500509782494	9.000211403495937	cruise
1.85	-18419.000100953217	3.8843400956931715	849.9999224624984	-0.0008407343338609763	2.497869236424562	18419.000510532936	9.001603399839125	cruise
1.86	-18410.500101727856	3.8833686994042704	849.9999226026879	-0.19343852345055357	2.4978693015179694	18410.500511291753	9.000127138527345	cruise
1.87	-18402.000102501162	3.88244381416967	849.9999227432891	0.008461476535011614	2.497869237372255	18402.000512059083	9.001687693681113	cruise
